test	dp	tp	tpsp	fsdp	mean	stddev	normalized
maxtext_fp8	1	4	1	1	8226.74	12.82	1.000
te_fp8_DelayedScaling	1	4	1	1	7118.25	16.94	0.865
te_fp8_MXFP8BlockScaling	1	4	1	1	7409.85	4.30	0.901
maxtext_fp8	4	1	1	1	7908.66	11.68	1.000
te_fp8_DelayedScaling	4	1	1	1	7699.46	25.72	0.974
te_fp8_MXFP8BlockScaling	4	1	1	1	7779.45	20.81	0.984
maxtext_fp8	2	2	1	1	8116.64	16.87	1.000
te_fp8_DelayedScaling	2	2	1	1	7302.80	27.45	0.900
te_fp8_MXFP8BlockScaling	2	2	1	1	7623.33	4.36	0.939
maxtext_fp8	1	1	4	1	6606.32	14.58	1.000
te_fp8_DelayedScaling	1	1	4	1	6994.35	31.39	1.059
te_fp8_MXFP8BlockScaling	1	1	4	1	7313.49	18.28	1.107
maxtext_fp8	2	1	2	1	7261.32	8.61	1.000
te_fp8_DelayedScaling	2	1	2	1	7305.93	16.17	1.006
te_fp8_MXFP8BlockScaling	2	1	2	1	7442.86	6.04	1.025
maxtext_fp8	1	1	1	4	9041.35	9.51	1.000
te_fp8_DelayedScaling	1	1	1	4	7585.06	23.71	0.839
te_fp8_MXFP8BlockScaling	1	1	1	4	7808.33	5.52	0.864
maxtext_fp8	1	1	2	2	7433.71	10.39	1.000
te_fp8_DelayedScaling	1	1	2	2	7370.40	12.38	0.991
te_fp8_MXFP8BlockScaling	1	1	2	2	7467.16	6.86	1.004
