test	dp	tp	tpsp	fsdp	mean	stddev
maxtext_fp8	1	4	1	1	8226.74	12.82
te_fp8_DelayedScaling	1	4	1	1	7118.25	16.94
te_fp8_MXFP8BlockScaling	1	4	1	1	7409.85	4.30
maxtext_fp8	4	1	1	1	7908.66	11.68
te_fp8_DelayedScaling	4	1	1	1	7699.46	25.72
te_fp8_MXFP8BlockScaling	4	1	1	1	7779.45	20.81
maxtext_fp8	2	2	1	1	8116.64	16.87
te_fp8_DelayedScaling	2	2	1	1	7302.80	27.45
te_fp8_MXFP8BlockScaling	2	2	1	1	7623.33	4.36
maxtext_fp8	1	1	4	1	6606.32	14.58
te_fp8_DelayedScaling	1	1	4	1	6994.35	31.39
te_fp8_MXFP8BlockScaling	1	1	4	1	7313.49	18.28
maxtext_fp8	2	1	2	1	7261.32	8.61
te_fp8_DelayedScaling	2	1	2	1	7305.93	16.17
te_fp8_MXFP8BlockScaling	2	1	2	1	7442.86	6.04
maxtext_fp8	1	1	1	4	9041.35	9.51
te_fp8_DelayedScaling	1	1	1	4	7585.06	23.71
te_fp8_MXFP8BlockScaling	1	1	1	4	7808.33	5.52
maxtext_fp8	1	1	2	2	7433.71	10.39
te_fp8_DelayedScaling	1	1	2	2	7370.40	12.38
te_fp8_MXFP8BlockScaling	1	1	2	2	7467.16	6.86
