test	dp	tp	tpsp	fsdp	mean	stddev	normalized
maxtext_fp8	1	1	1	1	7768.18	3.90	0.00%
te_fp8_delayedscaling	1	1	1	1	8433.48	4.19	8.56%
te_mxfp8	1	1	1	1	8017.43	2.35	3.21%
maxtext_fp8	1	4	1	1	7885.68	1.54	0.00%
te_fp8_delayedscaling	1	4	1	1	6855.60	1.27	-13.06%
te_mxfp8	1	4	1	1	6534.59	1.00	-17.13%
maxtext_fp8	4	1	1	1	6741.57	1.07	0.00%
te_fp8_delayedscaling	4	1	1	1	7403.47	0.94	9.82%
te_mxfp8	4	1	1	1	7360.81	0.73	9.19%
maxtext_fp8	2	2	1	1	7437.79	1.27	0.00%
te_fp8_delayedscaling	2	2	1	1	7460.93	1.21	0.31%
te_mxfp8	2	2	1	1	7136.89	2.18	-4.05%
maxtext_fp8	1	1	4	1	6922.91	2.51	0.00%
te_fp8_delayedscaling	1	1	4	1	8324.23	2.88	20.24%
te_mxfp8	1	1	4	1	7754.21	2.76	12.01%
maxtext_fp8	2	1	2	1	7193.20	1.44	0.00%
te_fp8_delayedscaling	2	1	2	1	8173.54	2.16	13.63%
te_mxfp8	2	1	2	1	7733.89	2.58	7.52%
maxtext_fp8	1	1	1	4	8062.63	1.21	0.00%
te_fp8_delayedscaling	1	1	1	4	8717.69	1.37	8.12%
te_mxfp8	1	1	1	4	8665.09	2.85	7.47%
maxtext_fp8	1	1	2	2	7614.93	2.32	0.00%
te_fp8_delayedscaling	1	1	2	2	8461.63	1.94	11.12%
te_mxfp8	1	1	2	2	8214.08	3.16	7.87%
