test	dp	tp	tpsp	fsdp	mean	stddev
maxtext_fp8	1	1	1	1	7768.18	3.90
te_fp8_delayedscaling	1	1	1	1	8433.48	4.19
te_mxfp8	1	1	1	1	8017.43	2.35
maxtext_fp8	1	4	1	1	7885.68	1.54
te_fp8_delayedscaling	1	4	1	1	6855.60	1.27
te_mxfp8	1	4	1	1	6534.59	1.00
maxtext_fp8	4	1	1	1	6741.57	1.07
te_fp8_delayedscaling	4	1	1	1	7403.47	0.94
te_mxfp8	4	1	1	1	7360.81	0.73
maxtext_fp8	2	2	1	1	7437.79	1.27
te_fp8_delayedscaling	2	2	1	1	7460.93	1.21
te_mxfp8	2	2	1	1	7136.89	2.18
maxtext_fp8	1	1	4	1	6922.91	2.51
te_fp8_delayedscaling	1	1	4	1	8324.23	2.88
te_mxfp8	1	1	4	1	7754.21	2.76
maxtext_fp8	2	1	2	1	7193.20	1.44
te_fp8_delayedscaling	2	1	2	1	8173.54	2.16
te_mxfp8	2	1	2	1	7733.89	2.58
maxtext_fp8	1	1	1	4	8062.63	1.21
te_fp8_delayedscaling	1	1	1	4	8717.69	1.37
te_mxfp8	1	1	1	4	8665.09	2.85
maxtext_fp8	1	1	2	2	7614.93	2.32
te_fp8_delayedscaling	1	1	2	2	8461.63	1.94
te_mxfp8	1	1	2	2	8214.08	3.16
