test	dp	tp	tpsp	fsdp	mean	stddev
maxtext_fp8	1	1	1	1	7765.28	3.65
te_fp8_delayedscaling	1	1	1	1	8431.63	4.19
te_mxfp8	1	1	1	1	8016.77	1.98
maxtext_fp8	1	4	1	1	7886.54	1.43
te_fp8_delayedscaling	1	4	1	1	6855.12	1.25
te_mxfp8	1	4	1	1	6535.74	1.39
maxtext_fp8	4	1	1	1	6741.98	0.91
te_fp8_delayedscaling	4	1	1	1	7400.03	1.41
te_mxfp8	4	1	1	1	7360.07	1.15
maxtext_fp8	2	2	1	1	7432.62	1.52
te_fp8_delayedscaling	2	2	1	1	7463.61	1.83
te_mxfp8	2	2	1	1	7135.64	1.81
maxtext_fp8	1	1	4	1	6923.08	2.30
te_fp8_delayedscaling	1	1	4	1	8326.45	3.11
te_mxfp8	1	1	4	1	7755.30	2.94
maxtext_fp8	2	1	2	1	7194.91	1.43
te_fp8_delayedscaling	2	1	2	1	8173.89	2.09
te_mxfp8	2	1	2	1	7733.04	2.77
maxtext_fp8	1	1	1	4	8067.36	1.35
te_fp8_delayedscaling	1	1	1	4	8285.33	3.12
te_mxfp8	1	1	1	4	7898.39	2.51
maxtext_fp8	1	1	2	2	7617.82	1.93
te_fp8_delayedscaling	1	1	2	2	8463.16	2.00
te_mxfp8	1	1	2	2	8215.18	2.76
