test	dp	tp	tpsp	fsdp	mean	stddev
fp8	1	1	1	1	132394.94	496.66
te_fp8_currentscaling	1	1	1	1	141479.55	430.40
fp8	2	1	2	1	114112.84	283.40
te_fp8_currentscaling	2	1	2	1	120064.16	780.27
fp8	1	1	1	4	148662.81	497.34
te_fp8_currentscaling	1	1	1	4	152694.64	1203.42
fp8	1	1	2	2	124183.67	478.70
te_fp8_currentscaling	1	1	2	2	130775.08	527.99
