test	dp	tp	tpsp	fsdp	mean	stddev
fp8	1	1	1	1	7773.94	4.54
te_fp8_delayedscaling	1	1	1	1	8431.17	4.25
te_mxfp8	1	1	1	1	7991.16	2.65
fp8	1	4	1	1	7890.78	8.84
te_fp8_delayedscaling	1	4	1	1	6852.08	1.35
te_mxfp8	1	4	1	1	6516.08	1.08
fp8	4	1	1	1	6737.75	1.13
te_fp8_delayedscaling	4	1	1	1	7396.73	7.30
te_mxfp8	4	1	1	1	7325.92	0.91
fp8	2	2	1	1	7437.56	7.33
te_fp8_delayedscaling	2	2	1	1	7465.33	4.76
te_mxfp8	2	2	1	1	7113.46	6.59
fp8	1	1	4	1	6913.04	15.30
te_fp8_delayedscaling	1	1	4	1	8320.90	9.02
te_mxfp8	1	1	4	1	7731.40	7.27
fp8	2	1	2	1	7193.43	2.02
te_fp8_delayedscaling	2	1	2	1	8174.93	2.79
te_mxfp8	2	1	2	1	7707.93	3.03
fp8	1	1	1	4	8062.63	1.64
te_fp8_delayedscaling	1	1	1	4	8708.34	16.47
te_mxfp8	1	1	1	4	8619.30	5.52
fp8	1	1	2	2	7616.05	2.04
te_fp8_delayedscaling	1	1	2	2	8458.64	2.84
te_mxfp8	1	1	2	2	8186.02	2.94
